Campaign,Ad group,Keyword,Match type,Final URL,Max CPC (JPY),Tier,Region ID,LP slug
千葉_車内清掃,AG_緊急_嘔吐,車 嘔吐 クリーニング 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,350,S,chiba,kyuto-cleaning
千葉_車内清掃,AG_緊急_嘔吐,車 ゲロ 消臭 即日,Phrase,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,350,S,chiba,kyuto-cleaning
千葉_車内清掃,AG_緊急_嘔吐,車 嘔吐 消臭 どこに 頼む,Phrase,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,350,S,chiba,kyuto-cleaning
千葉_車内清掃,AG_緊急_嘔吐,車 嘔吐 しまった 出張 即日,Phrase,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,350,S,chiba,kyuto-cleaning
千葉_車内清掃,AG_緊急_嘔吐,千葉 車内 嘔吐 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,350,S,chiba,kyuto-cleaning
千葉_車内清掃,AG_緊急_嘔吐,千葉 嘔吐 車内清掃,Phrase,https://carinteriorcleaning.jp/regions/chiba/kyuto-cleaning/,350,S,chiba,kyuto-cleaning
千葉_車内清掃,AG_緊急_子供嘔吐,子供 車 吐いた シート,Phrase,https://carinteriorcleaning.jp/regions/chiba/kodomo-kyuto/,350,S,chiba,kodomo-kyuto
千葉_車内清掃,AG_緊急_子供嘔吐,車 子供 嘔吐 シート 洗浄,Phrase,https://carinteriorcleaning.jp/regions/chiba/kodomo-kyuto/,350,S,chiba,kodomo-kyuto
千葉_車内清掃,AG_緊急_子供嘔吐,車酔い 嘔吐 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/kodomo-kyuto/,350,S,chiba,kodomo-kyuto
千葉_車内清掃,AG_緊急_子供嘔吐,千葉 子供 嘔吐 車内,Phrase,https://carinteriorcleaning.jp/regions/chiba/kodomo-kyuto/,350,S,chiba,kodomo-kyuto
千葉_車内清掃,AG_緊急_灯油,車 灯油 こぼし 出張,Exact,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,350,S,chiba,touyu-kobosi
千葉_車内清掃,AG_緊急_灯油,車 灯油 臭い 取れない 業者,Phrase,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,350,S,chiba,touyu-kobosi
千葉_車内清掃,AG_緊急_灯油,車 灯油 こぼした 消臭 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,350,S,chiba,touyu-kobosi
千葉_車内清掃,AG_緊急_灯油,車内 灯油 こぼし 消臭,Phrase,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,350,S,chiba,touyu-kobosi
千葉_車内清掃,AG_緊急_灯油,千葉 灯油 こぼし 車,Phrase,https://carinteriorcleaning.jp/regions/chiba/touyu-kobosi/,350,S,chiba,touyu-kobosi
千葉_車内清掃,AG_緊急_ペット,車 おしっこ シート 洗浄 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/oshikko/,320,S,chiba,oshikko
千葉_車内清掃,AG_緊急_ペット,車 おもらし シート 洗浄,Phrase,https://carinteriorcleaning.jp/regions/chiba/oshikko/,320,S,chiba,oshikko
千葉_車内清掃,AG_緊急_ペット,ペット 粗相 車 消臭,Phrase,https://carinteriorcleaning.jp/regions/chiba/oshikko/,320,S,chiba,oshikko
千葉_車内清掃,AG_緊急_ペット,犬 車 お漏らし 消臭 業者,Phrase,https://carinteriorcleaning.jp/regions/chiba/oshikko/,320,S,chiba,oshikko
千葉_車内清掃,AG_緊急_ペット,千葉 ペット 車内 清掃,Phrase,https://carinteriorcleaning.jp/regions/chiba/oshikko/,320,S,chiba,oshikko
千葉_車内清掃,AG_消臭_口語,車 匂い 消し 業者,Phrase,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,280,S,chiba,kuruma-nioi-keshi
千葉_車内清掃,AG_消臭_口語,車内 クサイ 消臭,Phrase,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,280,S,chiba,kuruma-nioi-keshi
千葉_車内清掃,AG_消臭_口語,車 臭い 取れない プロ,Phrase,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,280,S,chiba,kuruma-nioi-keshi
千葉_車内清掃,AG_消臭_口語,消臭スプレー 効かない 車,Phrase,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,280,S,chiba,kuruma-nioi-keshi
千葉_車内清掃,AG_消臭_口語,車 芳香剤 臭い 取れない,Phrase,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,280,S,chiba,kuruma-nioi-keshi
千葉_車内清掃,AG_消臭_口語,千葉 車内 消臭 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/kuruma-nioi-keshi/,280,S,chiba,kuruma-nioi-keshi
千葉_車内清掃,AG_消臭_中古車,中古車 タバコ臭 消せない,Phrase,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/,300,A,chiba,chuko-tabako
千葉_車内清掃,AG_消臭_中古車,中古車 加齢臭 車内,Phrase,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/,300,A,chiba,chuko-tabako
千葉_車内清掃,AG_消臭_中古車,車 タバコ臭 取れない 業者 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/,300,A,chiba,chuko-tabako
千葉_車内清掃,AG_消臭_中古車,千葉 中古車 臭い 車内,Phrase,https://carinteriorcleaning.jp/regions/chiba/chuko-tabako/,300,A,chiba,chuko-tabako
千葉_車内清掃,AG_消臭_湿気カビ,車内 カビ臭 取り方 業者,Phrase,https://carinteriorcleaning.jp/regions/chiba/shanai-nioi/,300,A,chiba,shanai-nioi
千葉_車内清掃,AG_消臭_湿気カビ,車 湿気 臭い シート 洗浄,Phrase,https://carinteriorcleaning.jp/regions/chiba/shanai-nioi/,300,A,chiba,shanai-nioi
千葉_車内清掃,AG_消臭_湿気カビ,車 原因不明 臭い 消臭 業者,Phrase,https://carinteriorcleaning.jp/regions/chiba/shanai-nioi/,300,A,chiba,shanai-nioi
千葉_車内清掃,AG_消臭_湿気カビ,車 ペット臭 消臭 プロ 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/shanai-nioi/,300,A,chiba,shanai-nioi
千葉_車内清掃,AG_消臭_湿気カビ,千葉 車内 カビ臭,Phrase,https://carinteriorcleaning.jp/regions/chiba/shanai-nioi/,300,A,chiba,shanai-nioi
千葉_車内清掃,AG_消臭_湿気カビ,千葉 湿気 車内 臭い,Phrase,https://carinteriorcleaning.jp/regions/chiba/shanai-nioi/,300,A,chiba,shanai-nioi
千葉_車内清掃,AG_エアコン_エバポレーター,エバポレーター洗浄 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,車 エアコン 酸っぱい 臭い 業者,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,カーエアコン カビ臭 エバポレーター,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,車 エアコン 臭い 取れない プロ,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,車 エアコン 咳 目が痒い 洗浄,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,車内クリーニング エバポレーター セット,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,千葉 エアコン 臭い 車,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_エアコン_エバポレーター,千葉 エバポレーター洗浄 出張,Phrase,https://carinteriorcleaning.jp/regions/chiba/evaporator-senjo/,400,A,chiba,evaporator-senjo
千葉_車内清掃,AG_条件_出張,車内クリーニング 即日 出張 当日,Phrase,https://carinteriorcleaning.jp/regions/chiba/shutchou-senmon/,280,S,chiba,shutchou-senmon
